"Date","Price","Open","High","Low","Change %"
"Jan 16, 1989","0.8869","0.8869","0.8869","0.8869","1.53%"
"Jan 13, 1989","0.8735","0.8735","0.8735","0.8735","0.13%"
"Jan 12, 1989","0.8724","0.8724","0.8724","0.8724","0.11%"
"Jan 11, 1989","0.8714","0.8714","0.8714","0.8714","-0.23%"
"Jan 10, 1989","0.8734","0.8734","0.8734","0.8734","0.15%"
"Jan 09, 1989","0.8721","0.8721","0.8721","0.8721","0.58%"
"Jan 06, 1989","0.8671","0.8671","0.8671","0.8671","0.98%"
"Jan 05, 1989","0.8587","0.8587","0.8587","0.8587","0.32%"
"Jan 04, 1989","0.8560","0.8560","0.8560","0.8560","1.47%"
"Jan 03, 1989","0.8436","0.8436","0.8436","0.8436","-0.66%"
"Dec 30, 1988","0.8492","0.8492","0.8492","0.8492","-0.84%"
"Dec 29, 1988","0.8564","0.8564","0.8564","0.8564","-0.40%"
"Dec 28, 1988","0.8598","0.8598","0.8598","0.8598","1.01%"
"Dec 23, 1988","0.8512","0.8512","0.8512","0.8512","0.14%"
"Dec 22, 1988","0.8500","0.8500","0.8500","0.8500","0.13%"
"Dec 21, 1988","0.8489","0.8489","0.8489","0.8489","-0.36%"
"Dec 20, 1988","0.8520","0.8520","0.8520","0.8520","0.74%"
"Dec 19, 1988","0.8457","0.8457","0.8457","0.8457","0.00%"
"Dec 16, 1988","0.8457","0.8457","0.8457","0.8457","1.04%"
"Dec 15, 1988","0.8370","0.8370","0.8370","0.8370","0.46%"
"Dec 14, 1988","0.8332","0.8332","0.8332","0.8332","-0.49%"
"Dec 13, 1988","0.8373","0.8373","0.8373","0.8373","0.20%"
"Dec 12, 1988","0.8356","0.8356","0.8356","0.8356","0.49%"
"Dec 09, 1988","0.8315","0.8315","0.8315","0.8315","-0.53%"
"Dec 08, 1988","0.8359","0.8359","0.8359","0.8359","-0.62%"
"Dec 07, 1988","0.8411","0.8411","0.8411","0.8411","1.48%"
"Dec 06, 1988","0.8288","0.8288","0.8288","0.8288","0.27%"
"Dec 05, 1988","0.8266","0.8266","0.8266","0.8266","-0.46%"
"Dec 02, 1988","0.8304","0.8304","0.8304","0.8304","0.05%"
"Dec 01, 1988","0.8300","0.8300","0.8300","0.8300","-0.54%"
"Nov 30, 1988","0.8345","0.8345","0.8345","0.8345","0.59%"
"Nov 29, 1988","0.8296","0.8296","0.8296","0.8296","-0.40%"
"Nov 28, 1988","0.8329","0.8329","0.8329","0.8329","0.93%"
"Nov 25, 1988","0.8252","0.8252","0.8252","0.8252","0.17%"
"Nov 24, 1988","0.8238","0.8238","0.8238","0.8238","-0.10%"
"Nov 23, 1988","0.8246","0.8246","0.8246","0.8246","-0.45%"
"Nov 22, 1988","0.8283","0.8283","0.8283","0.8283","-0.44%"
"Nov 21, 1988","0.8320","0.8320","0.8320","0.8320","-0.31%"
"Nov 18, 1988","0.8346","0.8346","0.8346","0.8346","-0.01%"
"Nov 17, 1988","0.8347","0.8347","0.8347","0.8347","0.40%"
"Nov 16, 1988","0.8314","0.8314","0.8314","0.8314","-0.98%"
"Nov 15, 1988","0.8396","0.8396","0.8396","0.8396","0.02%"
"Nov 14, 1988","0.8394","0.8394","0.8394","0.8394","0.50%"
"Nov 11, 1988","0.8352","0.8352","0.8352","0.8352","-1.24%"
"Nov 10, 1988","0.8457","0.8457","0.8457","0.8457","-0.44%"
"Nov 09, 1988","0.8494","0.8494","0.8494","0.8494","-1.22%"
"Nov 08, 1988","0.8599","0.8599","0.8599","0.8599","0.24%"
"Nov 07, 1988","0.8578","0.8578","0.8578","0.8578","-0.46%"
"Nov 04, 1988","0.8618","0.8618","0.8618","0.8618","1.01%"
"Nov 03, 1988","0.8532","0.8532","0.8532","0.8532","-0.27%"
"Nov 02, 1988","0.8555","0.8555","0.8555","0.8555","-0.65%"
"Nov 01, 1988","0.8611","0.8611","0.8611","0.8611","0.68%"
"Oct 31, 1988","0.8553","0.8553","0.8553","0.8553","0.09%"
"Oct 28, 1988","0.8545","0.8545","0.8545","0.8545","0.08%"
"Oct 27, 1988","0.8538","0.8538","0.8538","0.8538","0.04%"
"Oct 26, 1988","0.8535","0.8535","0.8535","0.8535","-0.74%"
"Oct 25, 1988","0.8599","0.8599","0.8599","0.8599","0.03%"
"Oct 24, 1988","0.8596","0.8596","0.8596","0.8596","-0.14%"
"Oct 21, 1988","0.8608","0.8608","0.8608","0.8608","-0.62%"
"Oct 20, 1988","0.8662","0.8662","0.8662","0.8662","-0.39%"
"Oct 19, 1988","0.8696","0.8696","0.8696","0.8696","-0.03%"
"Oct 18, 1988","0.8699","0.8699","0.8699","0.8699","-0.03%"
"Oct 17, 1988","0.8702","0.8702","0.8702","0.8702","-0.35%"
"Oct 14, 1988","0.8733","0.8733","0.8733","0.8733","-0.05%"
"Oct 13, 1988","0.8737","0.8737","0.8737","0.8737","-1.20%"
"Oct 12, 1988","0.8843","0.8843","0.8843","0.8843","-0.60%"
"Oct 11, 1988","0.8896","0.8896","0.8896","0.8896","-0.27%"
"Oct 10, 1988","0.8920","0.8920","0.8920","0.8920","-0.31%"
"Oct 07, 1988","0.8948","0.8948","0.8948","0.8948","-0.06%"
"Oct 06, 1988","0.8953","0.8953","0.8953","0.8953","0.02%"
"Oct 05, 1988","0.8951","0.8951","0.8951","0.8951","0.15%"
"Oct 04, 1988","0.8938","0.8938","0.8938","0.8938","-0.21%"
"Oct 03, 1988","0.8957","0.8957","0.8957","0.8957","-0.82%"
"Sep 30, 1988","0.9031","0.9031","0.9031","0.9031","-0.17%"
"Sep 29, 1988","0.9046","0.9046","0.9046","0.9046","0.12%"
"Sep 28, 1988","0.9035","0.9035","0.9035","0.9035","-0.02%"
"Sep 27, 1988","0.9037","0.9037","0.9037","0.9037","-0.21%"
"Sep 26, 1988","0.9056","0.9056","0.9056","0.9056","0.44%"
"Sep 23, 1988","0.9016","0.9016","0.9016","0.9016","-0.11%"
"Sep 22, 1988","0.9026","0.9026","0.9026","0.9026","0.23%"
"Sep 21, 1988","0.9005","0.9005","0.9005","0.9005","0.35%"
"Sep 20, 1988","0.8974","0.8974","0.8974","0.8974","-0.24%"
"Sep 19, 1988","0.8996","0.8996","0.8996","0.8996","-0.28%"
"Sep 16, 1988","0.9021","0.9021","0.9021","0.9021","-0.04%"
"Sep 15, 1988","0.9025","0.9025","0.9025","0.9025","0.04%"
"Sep 14, 1988","0.9021","0.9021","0.9021","0.9021","1.47%"
"Sep 13, 1988","0.8890","0.8890","0.8890","0.8890","0.24%"
"Sep 12, 1988","0.8869","0.8869","0.8869","0.8869","-0.29%"
"Sep 09, 1988","0.8895","0.8895","0.8895","0.8895","-0.08%"
"Sep 08, 1988","0.8902","0.8902","0.8902","0.8902","0.24%"
"Sep 07, 1988","0.8881","0.8881","0.8881","0.8881","0.07%"
"Sep 06, 1988","0.8875","0.8875","0.8875","0.8875","-0.55%"
"Sep 05, 1988","0.8924","0.8924","0.8924","0.8924","-0.45%"
"Sep 02, 1988","0.8964","0.8964","0.8964","0.8964","-0.73%"
"Sep 01, 1988","0.9030","0.9030","0.9030","0.9030","0.10%"
"Aug 31, 1988","0.9021","0.9021","0.9021","0.9021","0.51%"
"Aug 30, 1988","0.8975","0.8975","0.8975","0.8975","0.55%"
"Aug 26, 1988","0.8926","0.8926","0.8926","0.8926","-0.40%"
"Aug 25, 1988","0.8962","0.8962","0.8962","0.8962","-1.42%"
"Aug 24, 1988","0.9091","0.9091","0.9091","0.9091","-0.46%"
"Aug 23, 1988","0.9133","0.9133","0.9133","0.9133","-0.56%"
"Aug 22, 1988","0.9184","0.9184","0.9184","0.9184","1.18%"
"Aug 19, 1988","0.9077","0.9077","0.9077","0.9077","-0.19%"
"Aug 18, 1988","0.9094","0.9094","0.9094","0.9094","-0.60%"
"Aug 17, 1988","0.9149","0.9149","0.9149","0.9149","2.28%"
"Aug 16, 1988","0.8945","0.8945","0.8945","0.8945","-0.92%"
"Aug 15, 1988","0.9028","0.9028","0.9028","0.9028","0.29%"
"Aug 12, 1988","0.9002","0.9002","0.9002","0.9002","-1.26%"
"Aug 11, 1988","0.9117","0.9117","0.9117","0.9117","-0.87%"
"Aug 10, 1988","0.9197","0.9197","0.9197","0.9197","0.44%"
"Aug 09, 1988","0.9157","0.9157","0.9157","0.9157","0.64%"
"Aug 08, 1988","0.9099","0.9099","0.9099","0.9099","0.53%"
"Aug 05, 1988","0.9051","0.9051","0.9051","0.9051","0.69%"
"Aug 04, 1988","0.8989","0.8989","0.8989","0.8989","0.08%"
"Aug 03, 1988","0.8982","0.8982","0.8982","0.8982","0.21%"
"Aug 02, 1988","0.8963","0.8963","0.8963","0.8963","-0.22%"
"Aug 01, 1988","0.8983","0.8983","0.8983","0.8983","0.32%"
"Jul 29, 1988","0.8954","0.8954","0.8954","0.8954","0.57%"
"Jul 28, 1988","0.8903","0.8903","0.8903","0.8903","0.70%"
"Jul 27, 1988","0.8841","0.8841","0.8841","0.8841","-0.73%"
"Jul 26, 1988","0.8906","0.8906","0.8906","0.8906","1.07%"
"Jul 25, 1988","0.8812","0.8812","0.8812","0.8812","0.59%"
"Jul 22, 1988","0.8760","0.8760","0.8760","0.8760","-0.76%"
"Jul 21, 1988","0.8827","0.8827","0.8827","0.8827","-0.53%"
"Jul 20, 1988","0.8874","0.8874","0.8874","0.8874","-0.80%"
