"Date","Price","Open","High","Low","Change %"
"Mar 12, 2009","1.2780","1.2848","1.2958","1.2768","-0.57%"
"Mar 11, 2009","1.2853","1.2809","1.2905","1.2752","0.31%"
"Mar 10, 2009","1.2813","1.3010","1.3014","1.2727","-1.42%"
"Mar 09, 2009","1.2997","1.2853","1.3066","1.2816","0.93%"
"Mar 06, 2009","1.2877","1.2887","1.2912","1.2763","-0.11%"
"Mar 05, 2009","1.2891","1.2746","1.2913","1.2725","1.15%"
"Mar 04, 2009","1.2744","1.2929","1.2970","1.2714","-1.46%"
"Mar 03, 2009","1.2933","1.2916","1.2976","1.2806","0.19%"
"Mar 02, 2009","1.2908","1.2772","1.2919","1.2725","1.38%"
"Feb 27, 2009","1.2732","1.2530","1.2733","1.2518","1.70%"
"Feb 26, 2009","1.2519","1.2571","1.2582","1.2397","-0.40%"
"Feb 25, 2009","1.2569","1.2425","1.2615","1.2400","1.13%"
"Feb 24, 2009","1.2429","1.2509","1.2543","1.2395","-0.58%"
"Feb 23, 2009","1.2501","1.2504","1.2559","1.2358","-0.06%"
"Feb 20, 2009","1.2508","1.2582","1.2652","1.2422","-0.67%"
"Feb 19, 2009","1.2593","1.2618","1.2624","1.2468","-0.08%"
"Feb 18, 2009","1.2603","1.2645","1.2656","1.2529","-0.37%"
"Feb 17, 2009","1.2650","1.2438","1.2675","1.2416","1.70%"
"Feb 16, 2009","1.2439","1.2406","1.2490","1.2393","0.75%"
"Feb 13, 2009","1.2346","1.2426","1.2464","1.2281","-0.72%"
"Feb 12, 2009","1.2435","1.2410","1.2550","1.2382","0.14%"
"Feb 11, 2009","1.2418","1.2447","1.2532","1.2389","-0.35%"
"Feb 10, 2009","1.2462","1.2167","1.2494","1.2149","2.48%"
"Feb 09, 2009","1.2161","1.2221","1.2302","1.2131","-0.78%"
"Feb 06, 2009","1.2256","1.2332","1.2542","1.2233","-0.50%"
"Feb 05, 2009","1.2317","1.2327","1.2382","1.2226","-0.06%"
"Feb 04, 2009","1.2325","1.2306","1.2439","1.2226","0.10%"
"Feb 03, 2009","1.2313","1.2431","1.2523","1.2294","-0.91%"
"Feb 02, 2009","1.2426","1.2281","1.2466","1.2262","1.28%"
"Jan 30, 2009","1.2269","1.2248","1.2419","1.2217","0.25%"
"Jan 29, 2009","1.2239","1.2121","1.2247","1.2093","0.72%"
"Jan 28, 2009","1.2151","1.2298","1.2308","1.2026","-0.95%"
"Jan 27, 2009","1.2268","1.2234","1.2334","1.2152","0.33%"
"Jan 26, 2009","1.2228","1.2324","1.2389","1.2141","-0.67%"
"Jan 23, 2009","1.2311","1.2529","1.2651","1.2268","-1.79%"
"Jan 22, 2009","1.2535","1.2565","1.2741","1.2518","-0.19%"
"Jan 21, 2009","1.2559","1.2666","1.2767","1.2548","-0.87%"
"Jan 20, 2009","1.2669","1.2534","1.2698","1.2531","0.98%"
