"Date","Price","Open","High","Low","Change %"
"Sep 04, 2008","106.62","108.24","108.59","106.44","-1.61%"
"Sep 03, 2008","108.36","108.62","109.09","108.08","-0.29%"
"Sep 02, 2008","108.67","108.02","109.21","107.75","0.56%"
"Sep 01, 2008","108.06","108.32","108.69","107.60","-0.69%"
"Aug 29, 2008","108.81","109.42","109.59","108.40","-0.61%"
"Aug 28, 2008","109.48","109.55","109.73","108.76","-0.07%"
"Aug 27, 2008","109.56","109.62","109.91","108.67","-0.03%"
"Aug 26, 2008","109.59","109.32","109.95","109.12","0.24%"
"Aug 25, 2008","109.33","109.96","110.30","109.00","-0.64%"
"Aug 22, 2008","110.03","108.44","110.16","108.40","1.54%"
"Aug 21, 2008","108.36","109.81","109.89","108.12","-1.33%"
"Aug 20, 2008","109.82","109.64","110.30","109.59","0.09%"
"Aug 19, 2008","109.72","110.10","110.34","109.53","-0.35%"
"Aug 18, 2008","110.10","110.50","110.53","109.94","-0.36%"
"Aug 15, 2008","110.50","109.76","110.67","109.60","0.68%"
"Aug 14, 2008","109.75","109.46","110.00","109.00","0.23%"
"Aug 13, 2008","109.50","109.22","109.75","108.35","0.24%"
"Aug 12, 2008","109.24","110.07","110.37","109.20","-0.77%"
"Aug 11, 2008","110.09","110.34","110.40","109.53","-0.08%"
"Aug 08, 2008","110.18","109.33","110.38","109.28","0.67%"
"Aug 07, 2008","109.45","109.62","109.70","109.11","-0.25%"
"Aug 06, 2008","109.72","108.28","109.88","108.20","1.31%"
"Aug 05, 2008","108.30","108.20","108.41","107.65","0.05%"
"Aug 04, 2008","108.25","107.66","108.32","107.43","0.52%"
"Aug 01, 2008","107.69","107.85","107.91","107.27","-0.13%"
"Jul 31, 2008","107.83","108.10","108.39","107.54","-0.26%"
"Jul 30, 2008","108.11","108.14","108.34","107.68","0.00%"
"Jul 29, 2008","108.11","107.44","108.30","107.27","0.60%"
"Jul 28, 2008","107.46","107.83","108.10","107.32","-0.38%"
"Jul 25, 2008","107.87","107.37","107.96","106.56","0.46%"
"Jul 24, 2008","107.38","107.91","108.00","107.17","-0.55%"
"Jul 23, 2008","107.97","107.25","107.98","107.15","0.57%"
"Jul 22, 2008","107.36","106.41","107.45","106.03","0.86%"
"Jul 21, 2008","106.44","106.92","107.18","106.31","-0.50%"
"Jul 18, 2008","106.97","106.21","107.00","105.95","0.65%"
"Jul 17, 2008","106.28","105.06","106.97","104.73","1.16%"
"Jul 16, 2008","105.06","104.63","105.19","103.75","0.40%"
"Jul 15, 2008","104.64","106.20","106.28","104.14","-1.43%"
"Jul 14, 2008","106.16","106.10","106.83","106.02","-0.07%"
"Jul 11, 2008","106.23","107.05","107.33","105.63","-0.79%"
"Jul 10, 2008","107.08","106.78","107.45","106.68","0.31%"
"Jul 09, 2008","106.75","107.44","107.66","106.66","-0.64%"
"Jul 08, 2008","107.44","107.17","107.56","106.23","0.26%"
"Jul 07, 2008","107.16","106.78","107.77","106.63","0.30%"
"Jul 04, 2008","106.84","106.77","106.91","106.57","0.08%"
"Jul 03, 2008","106.75","105.84","106.94","105.75","0.82%"
"Jul 02, 2008","105.88","106.02","106.79","105.76","-0.19%"
"Jul 01, 2008","106.08","106.09","106.39","105.21","-0.03%"
"Jun 30, 2008","106.11","106.17","106.47","104.97","-0.02%"
"Jun 27, 2008","106.13","106.81","107.22","105.84","-0.62%"
"Jun 26, 2008","106.79","107.83","108.21","106.59","-0.99%"
"Jun 25, 2008","107.86","107.81","108.46","107.63","0.00%"
"Jun 24, 2008","107.86","107.85","108.22","107.33","0.05%"
"Jun 23, 2008","107.81","107.21","108.06","107.13","0.47%"
"Jun 20, 2008","107.31","107.95","108.08","107.10","-0.66%"
"Jun 19, 2008","108.02","107.81","108.08","107.40","0.15%"
"Jun 18, 2008","107.86","107.96","108.45","107.69","-0.06%"
"Jun 17, 2008","107.92","108.20","108.40","107.58","-0.27%"
"Jun 16, 2008","108.21","108.04","108.60","107.90","0.04%"
"Jun 13, 2008","108.17","107.87","108.39","107.62","0.19%"
"Jun 12, 2008","107.96","106.81","108.10","106.77","1.06%"
"Jun 11, 2008","106.83","107.36","107.77","106.54","-0.57%"
"Jun 10, 2008","107.44","106.28","107.44","106.21","1.03%"
"Jun 09, 2008","106.34","104.46","106.35","104.43","1.34%"
"Jun 06, 2008","104.93","105.93","106.35","104.88","-0.95%"
"Jun 05, 2008","105.94","105.28","106.44","105.18","0.61%"
"Jun 04, 2008","105.30","105.13","105.36","104.52","0.21%"
"Jun 03, 2008","105.08","104.41","105.58","103.85","0.57%"
"Jun 02, 2008","104.48","105.28","105.55","104.00","-0.99%"
"May 30, 2008","105.52","105.55","105.76","105.21","-0.01%"
"May 29, 2008","105.53","104.68","105.90","104.58","0.85%"
"May 28, 2008","104.64","104.28","105.33","103.87","0.36%"
"May 27, 2008","104.26","103.35","104.36","103.22","0.84%"
"May 26, 2008","103.39","103.31","103.52","103.10","0.07%"
"May 23, 2008","103.32","104.12","104.28","103.04","-0.73%"
"May 22, 2008","104.08","103.02","104.39","102.70","1.06%"
"May 21, 2008","102.99","103.62","103.72","102.94","-0.60%"
"May 20, 2008","103.61","104.30","104.48","103.43","-0.71%"
"May 19, 2008","104.35","103.95","104.70","103.60","0.29%"
"May 16, 2008","104.05","104.70","105.10","103.50","-0.61%"
"May 15, 2008","104.69","105.05","105.31","104.40","-0.35%"
"May 14, 2008","105.06","104.67","105.45","104.55","0.25%"
"May 13, 2008","104.80","103.83","104.94","103.37","0.98%"
"May 12, 2008","103.78","102.98","104.06","102.55","0.90%"
"May 09, 2008","102.85","103.75","103.98","102.59","-0.87%"
"May 08, 2008","103.75","104.73","104.97","103.38","-0.88%"
"May 07, 2008","104.67","104.74","105.59","104.56","-0.08%"
"May 06, 2008","104.75","104.92","105.14","104.00","-0.14%"
"May 05, 2008","104.90","105.25","105.65","104.71","-0.44%"
"May 02, 2008","105.36","104.38","105.70","104.31","0.86%"
"May 01, 2008","104.46","103.98","104.61","103.52","0.50%"
"Apr 30, 2008","103.94","104.04","104.90","103.66","-0.10%"
"Apr 29, 2008","104.04","104.20","104.38","103.20","-0.04%"
"Apr 28, 2008","104.08","104.41","104.83","104.04","-0.34%"
"Apr 25, 2008","104.43","104.32","104.84","103.88","0.15%"
"Apr 24, 2008","104.27","103.43","104.56","103.29","0.88%"
"Apr 23, 2008","103.36","102.85","103.81","102.72","0.35%"
