"Date","Price","Open","High","Low","Change %"
"Feb 03, 2009","1.9470","1.9822","1.9967","1.9387","-1.66%"
"Feb 02, 2009","1.9798","1.9689","2.0149","1.9619","0.56%"
"Jan 30, 2009","1.9687","1.9444","1.9824","1.9417","1.04%"
"Jan 29, 2009","1.9484","1.9066","1.9526","1.9004","2.10%"
"Jan 28, 2009","1.9084","1.8900","1.9279","1.8587","1.14%"
"Jan 27, 2009","1.8868","1.8975","1.9051","1.8695","-0.58%"
"Jan 26, 2009","1.8979","1.8864","1.9179","1.8709","0.86%"
"Jan 23, 2009","1.8818","1.8972","1.9345","1.8769","-0.67%"
"Jan 22, 2009","1.8945","1.8727","1.9159","1.8678","1.30%"
"Jan 21, 2009","1.8702","1.9131","1.9360","1.8625","-2.80%"
"Jan 20, 2009","1.9240","1.8539","1.9295","1.8508","4.62%"
"Jan 19, 2009","1.8391","1.8152","1.8459","1.8025","0.59%"
"Jan 16, 2009","1.8283","1.8598","1.8623","1.8077","-1.62%"
"Jan 15, 2009","1.8584","1.8447","1.8956","1.8318","0.54%"
"Jan 14, 2009","1.8484","1.8060","1.8570","1.7857","2.10%"
"Jan 13, 2009","1.8104","1.7355","1.8319","1.7337","4.12%"
"Jan 12, 2009","1.7387","1.6992","1.7427","1.6923","2.65%"
"Jan 09, 2009","1.6938","1.6756","1.6995","1.6739","1.00%"
"Jan 08, 2009","1.6771","1.6863","1.7207","1.6748","-0.82%"
"Jan 07, 2009","1.6910","1.6692","1.6959","1.6562","0.96%"
"Jan 06, 2009","1.6749","1.6941","1.7210","1.6672","-1.22%"
"Jan 05, 2009","1.6956","1.7001","1.7234","1.6880","-0.76%"
"Jan 02, 2009","1.7086","1.7153","1.7390","1.7027","-0.82%"
"Jan 01, 2009","1.7227","1.7112","1.7309","1.7112","0.57%"
"Dec 31, 2008","1.7129","1.7289","1.7440","1.6969","-1.11%"
"Dec 30, 2008","1.7321","1.7322","1.7416","1.7141","0.17%"
"Dec 29, 2008","1.7292","1.7253","1.7400","1.7053","-0.03%"
"Dec 26, 2008","1.7298","1.7431","1.7458","1.7244","-1.18%"
"Dec 25, 2008","1.7504","1.7367","1.7565","1.7343","0.62%"
