"Date","Price","Open","High","Low","Change %"
"Apr 24, 2009","1.3826","1.4010","1.4072","1.3808","-1.19%"
"Apr 23, 2009","1.3993","1.4182","1.4226","1.3968","-1.30%"
"Apr 22, 2009","1.4177","1.4081","1.4281","1.4043","0.69%"
"Apr 21, 2009","1.4080","1.4316","1.4348","1.4019","-1.73%"
"Apr 20, 2009","1.4328","1.3816","1.4381","1.3806","3.37%"
"Apr 17, 2009","1.3861","1.3875","1.3954","1.3827","-0.16%"
"Apr 16, 2009","1.3883","1.3740","1.4012","1.3663","1.17%"
"Apr 15, 2009","1.3722","1.3875","1.3999","1.3697","-1.12%"
"Apr 14, 2009","1.3878","1.3663","1.3886","1.3646","1.43%"
"Apr 13, 2009","1.3683","1.3749","1.3918","1.3646","-1.54%"
"Apr 10, 2009","1.3897","1.3891","1.3967","1.3868","0.04%"
"Apr 09, 2009","1.3892","1.4086","1.4179","1.3879","-1.35%"
"Apr 08, 2009","1.4082","1.4063","1.4240","1.4013","-0.05%"
"Apr 07, 2009","1.4089","1.4029","1.4197","1.3943","0.33%"
"Apr 06, 2009","1.4043","1.3970","1.4130","1.3866","0.41%"
"Apr 03, 2009","1.3985","1.3982","1.4171","1.3829","0.16%"
"Apr 02, 2009","1.3963","1.4329","1.4338","1.3885","-2.43%"
"Apr 01, 2009","1.4311","1.4459","1.4587","1.4288","-0.95%"
"Mar 31, 2009","1.4448","1.4674","1.4733","1.4341","-1.63%"
"Mar 30, 2009","1.4688","1.4484","1.4786","1.4434","1.89%"
"Mar 27, 2009","1.4415","1.4231","1.4566","1.4217","1.21%"
"Mar 26, 2009","1.4242","1.4329","1.4342","1.4196","-0.74%"
"Mar 25, 2009","1.4348","1.4339","1.4485","1.4176","-0.26%"
"Mar 24, 2009","1.4385","1.4184","1.4425","1.4092","1.52%"
"Mar 23, 2009","1.4169","1.4495","1.4502","1.4158","-2.70%"
"Mar 20, 2009","1.4562","1.4562","1.4600","1.4422","-0.12%"
"Mar 19, 2009","1.4579","1.4678","1.4878","1.4395","-0.92%"
"Mar 18, 2009","1.4714","1.5106","1.5229","1.4693","-2.63%"
"Mar 17, 2009","1.5111","1.5163","1.5227","1.5090","-0.36%"
"Mar 16, 2009","1.5166","1.5260","1.5320","1.5060","-0.08%"
"Mar 13, 2009","1.5178","1.5228","1.5359","1.5133","-0.42%"
"Mar 12, 2009","1.5242","1.5342","1.5595","1.5198","-0.90%"
"Mar 11, 2009","1.5380","1.5463","1.5628","1.5319","-0.61%"
"Mar 10, 2009","1.5475","1.5830","1.5845","1.5404","-2.17%"
"Mar 09, 2009","1.5819","1.5601","1.5859","1.5494","1.41%"
"Mar 06, 2009","1.5599","1.5649","1.5705","1.5446","-0.47%"
"Mar 05, 2009","1.5673","1.5394","1.5734","1.5382","1.76%"
"Mar 04, 2009","1.5402","1.5681","1.5912","1.5316","-1.74%"
"Mar 03, 2009","1.5675","1.5853","1.5910","1.5468","-1.32%"
"Mar 02, 2009","1.5884","1.5645","1.5902","1.5615","1.63%"
"Feb 27, 2009","1.5629","1.5425","1.5774","1.5415","1.30%"
"Feb 26, 2009","1.5429","1.5451","1.5478","1.5253","-0.20%"
"Feb 25, 2009","1.5460","1.5370","1.5495","1.5249","0.53%"
"Feb 24, 2009","1.5379","1.5586","1.5658","1.5316","-1.31%"
"Feb 23, 2009","1.5583","1.5499","1.5612","1.5263","0.64%"
"Feb 20, 2009","1.5484","1.5540","1.5740","1.5382","-0.40%"
"Feb 19, 2009","1.5546","1.5691","1.5722","1.5326","-0.79%"
"Feb 18, 2009","1.5670","1.5738","1.5794","1.5540","-0.53%"
"Feb 17, 2009","1.5754","1.5380","1.5759","1.5302","2.21%"
"Feb 16, 2009","1.5414","1.5328","1.5450","1.5286","1.37%"
"Feb 13, 2009","1.5206","1.5314","1.5334","1.5049","-0.77%"
"Feb 12, 2009","1.5324","1.5256","1.5551","1.5108","0.49%"
"Feb 11, 2009","1.5250","1.5258","1.5429","1.5142","-0.47%"
"Feb 10, 2009","1.5322","1.4708","1.5424","1.4704","4.25%"
"Feb 09, 2009","1.4697","1.4848","1.5090","1.4592","-0.66%"
"Feb 06, 2009","1.4794","1.5326","1.5442","1.4695","-3.53%"
"Feb 05, 2009","1.5336","1.5494","1.5624","1.5188","-1.39%"
"Feb 04, 2009","1.5552","1.5359","1.5738","1.5288","1.38%"
"Feb 03, 2009","1.5341","1.5828","1.5887","1.5270","-3.14%"
"Feb 02, 2009","1.5839","1.5726","1.6011","1.5676","0.58%"
"Jan 30, 2009","1.5747","1.5319","1.5764","1.5312","2.81%"
"Jan 29, 2009","1.5317","1.5020","1.5348","1.4961","1.93%"
"Jan 28, 2009","1.5027","1.5126","1.5165","1.4850","-0.42%"
"Jan 27, 2009","1.5090","1.5152","1.5218","1.4877","-0.53%"
"Jan 26, 2009","1.5171","1.5237","1.5398","1.5047","-0.54%"
"Jan 23, 2009","1.5254","1.5258","1.5580","1.5175","0.03%"
"Jan 22, 2009","1.5250","1.5074","1.5410","1.5051","1.30%"
"Jan 21, 2009","1.5054","1.5370","1.5493","1.5047","-2.49%"
"Jan 20, 2009","1.5438","1.4957","1.5457","1.4952","3.50%"
"Jan 19, 2009","1.4916","1.4782","1.4971","1.4605","0.40%"
"Jan 16, 2009","1.4857","1.5083","1.5093","1.4708","-1.16%"
"Jan 15, 2009","1.5032","1.5133","1.5299","1.4919","-0.79%"
"Jan 14, 2009","1.5151","1.5038","1.5200","1.4671","0.58%"
"Jan 13, 2009","1.5063","1.4663","1.5208","1.4650","2.48%"
"Jan 12, 2009","1.4699","1.4304","1.4737","1.4276","3.34%"
"Jan 09, 2009","1.4224","1.4041","1.4264","1.4027","1.39%"
"Jan 08, 2009","1.4029","1.3990","1.4376","1.3986","-0.18%"
"Jan 07, 2009","1.4054","1.3822","1.4101","1.3753","1.63%"
"Jan 06, 2009","1.3828","1.3939","1.4219","1.3755","-0.74%"
"Jan 05, 2009","1.3931","1.4045","1.4162","1.3920","-1.03%"
"Jan 02, 2009","1.4076","1.4170","1.4460","1.4065","-1.13%"
"Jan 01, 2009","1.4237","1.4227","1.4261","1.4211","0.74%"
"Dec 31, 2008","1.4133","1.4453","1.4604","1.4041","-2.30%"
"Dec 30, 2008","1.4465","1.4565","1.4602","1.4399","-0.60%"
"Dec 29, 2008","1.4553","1.4569","1.4629","1.4345","-0.14%"
"Dec 26, 2008","1.4574","1.4639","1.4713","1.4539","-0.50%"
"Dec 25, 2008","1.4647","1.4633","1.4703","1.4594","-0.04%"
"Dec 24, 2008","1.4653","1.4667","1.4800","1.4616","-0.21%"
"Dec 23, 2008","1.4684","1.4596","1.4750","1.4588","0.58%"
"Dec 22, 2008","1.4600","1.4643","1.4707","1.4499","-0.54%"
"Dec 19, 2008","1.4679","1.4588","1.4778","1.4418","0.01%"
"Dec 18, 2008","1.4678","1.4203","1.4784","1.4002","2.99%"
"Dec 17, 2008","1.4252","1.4384","1.4574","1.4176","-0.72%"
"Dec 16, 2008","1.4356","1.4952","1.5010","1.4310","-4.21%"
"Dec 15, 2008","1.4987","1.5060","1.5122","1.4813","-0.77%"
"Dec 12, 2008","1.5103","1.4883","1.5412","1.4841","1.44%"
"Dec 11, 2008","1.4889","1.5249","1.5281","1.4697","-2.22%"
"Dec 10, 2008","1.5227","1.5179","1.5337","1.5047","-0.09%"
"Dec 09, 2008","1.5240","1.5031","1.5400","1.5008","1.72%"
"Dec 08, 2008","1.4983","1.5425","1.5490","1.4934","-3.01%"
"Dec 05, 2008","1.5448","1.5504","1.5892","1.5408","-0.40%"
"Dec 04, 2008","1.5510","1.5423","1.5641","1.5293","0.47%"
"Dec 03, 2008","1.5438","1.5535","1.5636","1.5411","-0.40%"
"Dec 02, 2008","1.5500","1.5630","1.5789","1.5389","-0.76%"
"Dec 01, 2008","1.5619","1.5312","1.5700","1.5288","2.17%"
"Nov 28, 2008","1.5287","1.5211","1.5407","1.5129","0.55%"
"Nov 27, 2008","1.5204","1.5323","1.5437","1.5131","-0.54%"
"Nov 26, 2008","1.5287","1.5385","1.5556","1.5256","-0.58%"
"Nov 25, 2008","1.5376","1.5314","1.5791","1.5106","0.27%"
"Nov 24, 2008","1.5334","1.5810","1.6050","1.5293","-3.60%"
"Nov 21, 2008","1.5907","1.6388","1.6459","1.5828","-3.09%"
"Nov 20, 2008","1.6415","1.5689","1.6460","1.5579","4.72%"
"Nov 19, 2008","1.5675","1.5328","1.5717","1.5156","2.16%"
"Nov 18, 2008","1.5343","1.5385","1.5611","1.5198","-0.28%"
"Nov 17, 2008","1.5386","1.5662","1.5719","1.5154","-0.08%"
"Nov 14, 2008","1.5398","1.5024","1.5438","1.4930","2.45%"
"Nov 13, 2008","1.5030","1.5630","1.5769","1.4957","-4.19%"
"Nov 12, 2008","1.5688","1.5202","1.5753","1.4999","3.24%"
"Nov 11, 2008","1.5196","1.4930","1.5440","1.4791","1.64%"
"Nov 10, 2008","1.4951","1.4582","1.5036","1.4316","1.13%"
"Nov 07, 2008","1.4784","1.5020","1.5279","1.4728","-1.72%"
"Nov 06, 2008","1.5042","1.4609","1.5061","1.4480","3.07%"
"Nov 05, 2008","1.4594","1.4327","1.4659","1.4255","2.19%"
"Nov 04, 2008","1.4281","1.4778","1.5161","1.4249","-3.09%"
"Nov 03, 2008","1.4737","1.4957","1.5061","1.4565","-1.58%"
"Oct 31, 2008","1.4973","1.4830","1.5262","1.4771","1.92%"
"Oct 30, 2008","1.4691","1.4975","1.5113","1.4501","-1.95%"
"Oct 29, 2008","1.4983","1.5385","1.5780","1.4706","-3.10%"
"Oct 28, 2008","1.5462","1.6595","1.6634","1.5408","-6.66%"
"Oct 27, 2008","1.6566","1.6239","1.6649","1.6000","3.27%"
"Oct 24, 2008","1.6042","1.4806","1.6520","1.4806","7.98%"
"Oct 23, 2008","1.4857","1.4894","1.5322","1.4804","-0.15%"
"Oct 22, 2008","1.4880","1.4769","1.5086","1.4646","0.06%"
"Oct 21, 2008","1.4871","1.4201","1.4911","1.4198","4.91%"
"Oct 20, 2008","1.4175","1.4463","1.4525","1.4150","-2.34%"
"Oct 17, 2008","1.4515","1.4522","1.4859","1.4259","0.56%"
"Oct 16, 2008","1.4434","1.5267","1.5339","1.4397","-6.24%"
"Oct 15, 2008","1.5395","1.4290","1.5395","1.4126","7.73%"
"Oct 14, 2008","1.4291","1.4341","1.4418","1.3808","-0.23%"
"Oct 13, 2008","1.4324","1.4857","1.5277","1.4280","-7.86%"
"Oct 10, 2008","1.5546","1.4588","1.5801","1.4522","5.87%"
"Oct 09, 2008","1.4684","1.4908","1.5052","1.4013","-2.61%"
"Oct 08, 2008","1.5078","1.3980","1.5534","1.3968","6.94%"
"Oct 07, 2008","1.4099","1.4098","1.4234","1.3591","1.32%"
"Oct 06, 2008","1.3915","1.2942","1.4293","1.2932","7.71%"
"Oct 03, 2008","1.2919","1.2920","1.2967","1.2783","-0.24%"
"Oct 02, 2008","1.2950","1.2644","1.2990","1.2582","2.15%"
"Oct 01, 2008","1.2678","1.2575","1.2728","1.2464","0.71%"
"Sep 30, 2008","1.2588","1.2488","1.2708","1.2347","1.09%"
"Sep 29, 2008","1.2452","1.2082","1.2499","1.1999","3.50%"
"Sep 26, 2008","1.2031","1.1980","1.2140","1.1929","0.47%"
"Sep 25, 2008","1.1975","1.1998","1.2021","1.1864","-0.22%"
"Sep 24, 2008","1.2001","1.2022","1.2029","1.1861","-0.27%"
"Sep 23, 2008","1.2033","1.1857","1.2079","1.1802","1.57%"
"Sep 22, 2008","1.1847","1.1937","1.2074","1.1734","-1.20%"
"Sep 19, 2008","1.1991","1.2424","1.2485","1.1955","-3.83%"
"Sep 18, 2008","1.2468","1.2736","1.2743","1.2344","-2.04%"
"Sep 17, 2008","1.2727","1.2590","1.2818","1.2379","1.85%"
"Sep 16, 2008","1.2496","1.2422","1.2738","1.2404","0.78%"
"Sep 15, 2008","1.2399","1.2200","1.2481","1.2098","2.13%"
"Sep 12, 2008","1.2141","1.2375","1.2491","1.2130","-1.93%"
"Sep 11, 2008","1.2380","1.2550","1.2658","1.2344","-1.44%"
"Sep 10, 2008","1.2561","1.2502","1.2561","1.2296","0.58%"
"Sep 09, 2008","1.2488","1.2277","1.2515","1.2225","1.75%"
"Sep 08, 2008","1.2273","1.2012","1.2384","1.1967","0.21%"
"Sep 05, 2008","1.2247","1.2267","1.2457","1.2155","-0.35%"
"Sep 04, 2008","1.2290","1.1969","1.2298","1.1909","2.63%"
"Sep 03, 2008","1.1975","1.1943","1.2147","1.1896","0.26%"
"Sep 02, 2008","1.1944","1.1758","1.2094","1.1714","1.50%"
"Sep 01, 2008","1.1768","1.1674","1.1793","1.1648","1.00%"
"Aug 29, 2008","1.1652","1.1585","1.1690","1.1545","0.49%"
"Aug 28, 2008","1.1595","1.1655","1.1660","1.1497","-0.47%"
"Aug 27, 2008","1.1650","1.1699","1.1723","1.1574","-0.38%"
"Aug 26, 2008","1.1694","1.1575","1.1774","1.1561","0.93%"
"Aug 25, 2008","1.1586","1.1527","1.1611","1.1505","0.29%"
